220.541470707-23.094564646i	216.721633333-16.113522222i	212.370173737-13.128703030i	208.863076768-7.952770707i	207.140415152-6.320227273i	206.156565657-5.108987879i	205.556031313-4.221337374i	204.874506061-3.574229293i	204.460320202-2.946028283i	204.035476768-2.452064646i	203.589007071-1.961140404i	203.276492929-1.676318182i	202.909735354-1.430982828i	202.584495960-1.051970707i	202.283074747-0.693825253i
203.390104040-22.513041414i	199.964940404-15.450495960i	195.756167677-12.503161616i	192.599278788-7.438916162i	190.995717172-5.891082828i	190.147383838-4.786643434i	189.585583838-3.950817172i	188.937159596-3.338595960i	188.607886869-2.709366667i	188.204662626-2.273998990i	187.775447475-1.901878788i	187.473315152-1.558151515i	187.144057576-1.288510101i	186.865948485-0.983731313i	186.593647475-0.603439394i
192.071303030-22.139716162i	188.844189899-15.073577778i	184.851585859-12.162216162i	181.810828283-7.164318182i	180.226490909-5.643654545i	179.436788889-4.572401010i	178.944492929-3.768687879i	178.331344444-3.190085859i	177.986212121-2.598898990i	177.629442424-2.179214141i	177.183197980-1.759383838i	176.910117172-1.491924242i	176.623817172-1.256553535i	176.327455556-0.939034343i	176.091717172-0.561730303i
183.948477778-21.922767677i	180.846121212-14.852125253i	176.853355556-11.918801010i	174.021249495-7.024473737i	172.499344444-5.513512121i	171.714552525-4.447317172i	171.256985859-3.642368687i	170.632862626-3.115696970i	170.325061616-2.545884848i	169.988673737-2.084456566i	169.559413131-1.696011111i	169.271030303-1.442544444i	168.952722222-1.178211111i	168.704763636-0.909327273i	168.438835354-0.604880808i
177.371692929-21.932273737i	174.328943434-14.787022222i	170.401689899-11.818305051i	167.616789899-6.926339394i	166.164681818-5.392225253i	165.396186869-4.347159596i	164.947040404-3.575955556i	164.349258586-3.017361616i	164.022830303-2.501802020i	163.695526263-2.051765657i	163.356257576-1.720026263i	163.000072727-1.422708081i	162.745678788-1.127977778i	162.486414141-0.881266667i	162.214276768-0.538196970i
171.927074747-21.809389899i	168.910251515-14.659087879i	165.003869697-11.699633333i	162.305722222-6.825206061i	160.807606061-5.373951515i	160.086467677-4.287119192i	159.654315152-3.542436364i	159.085681818-2.995171717i	158.762421212-2.450825253i	158.406351515-2.052263636i	158.062373737-1.706455556i	157.755262626-1.362312121i	157.462960606-1.122593939i	157.213341414-0.895078788i	156.980903030-0.514398990i
167.608751515-21.799080808i	164.659743434-14.592877778i	160.755192929-11.690293939i	158.140045455-6.793229293i	156.668235354-5.305010101i	155.927709091-4.296361616i	155.497735354-3.521644444i	154.926231313-2.956482828i	154.598347475-2.423007071i	154.274815152-2.017897980i	153.911952525-1.681520202i	153.634254545-1.350621212i	153.353865657-1.120007071i	153.102410101-0.847942424i	152.893849495-0.526339394i
164.073130303-21.725065657i	161.129697980-14.600680808i	157.257652525-11.659041414i	154.627225253-6.726514141i	153.147808081-5.287041414i	152.452854545-4.227269697i	152.047915152-3.486738384i	151.468352525-2.951553535i	151.149960606-2.384292929i	150.808283838-2.014582828i	150.425758586-1.607345455i	150.155978788-1.393254545i	149.916049495-1.116339394i	149.625163636-0.807618182i	149.463292929-0.507859596i
160.843341414-21.765672727i	157.931135354-14.542442424i	154.041931313-11.587014141i	151.459516162-6.724742424i	150.031002020-5.251279798i	149.322194949-4.250585859i	148.914051515-3.484281818i	148.309986869-2.957563636i	148.002833333-2.389964646i	147.663041414-1.972983838i	147.341574747-1.643067677i	147.027067677-1.360654545i	146.810071717-1.092802020i	146.528315152-0.855432323i	146.334339394-0.471576768i
158.011188889-21.672143434i	155.085981818-14.532695960i	151.222942424-11.580737374i	148.650460606-6.702077778i	147.211745455-5.245022222i	146.481958586-4.193658586i	146.063461616-3.455095960i	145.530122222-2.940519192i	145.224427273-2.386518182i	144.899804040-1.974491919i	144.533401010-1.604386869i	144.227978788-1.353898990i	143.973980808-1.091903030i	143.736694949-0.833178788i	143.520665657-0.490649495i
