343.787861616-31.455506061i	336.044789899-22.228960606i	330.830274747-18.495839394i	324.769581818-11.180196970i	322.490497980-9.241682828i	321.019558586-7.395771717i	319.933239394-6.163123232i	319.401000000-5.551493939i	318.568408081-4.674326263i	317.621991919-4.134976768i	316.908807071-3.618443434i	316.291661616-2.869750505i	316.112719192-2.862698990i	314.757175758-3.363913131i	313.019270707-2.226270707i
333.362904040-30.969490909i	325.796696970-22.326860606i	320.280847475-18.062609091i	314.516762626-11.563097980i	312.269564646-9.171562626i	310.705192929-7.303233333i	309.841878788-6.272991919i	309.030637374-5.410226263i	308.166163636-4.624680808i	307.549976768-4.179023232i	306.499424242-3.254398990i	306.022772727-2.916814141i	305.646120202-2.658386869i	304.553779798-3.198526263i	302.931603030-2.308818182i
325.376858586-31.194606061i	317.776349495-22.290547475i	312.186302020-18.081108081i	306.719868687-11.290895960i	304.217350505-9.041132323i	303.035347475-7.350924242i	302.089688889-6.140736364i	301.098016162-5.380620202i	300.345625253-4.614767677i	299.737301010-4.161831313i	299.013704040-3.304423232i	298.290221212-2.781089899i	298.092548485-2.819912121i	296.933783838-3.143886869i	295.179544444-2.015608081i
317.853271717-31.107202020i	310.014055556-22.224132323i	304.950885859-18.085811111i	299.307197980-11.235942424i	296.977728283-8.987902020i	295.482321212-7.298168687i	294.759625253-6.256050505i	293.666586869-5.114782828i	292.945508081-4.505455556i	292.155598990-3.969063636i	291.412261616-3.363440404i	290.804318182-2.935464646i	290.882106061-2.636398990i	289.693484848-3.161697980i	287.999579798-2.272967677i
312.423022222-30.872144444i	304.834504040-22.060942424i	299.512559596-17.940060606i	294.043670707-11.066354545i	291.692812121-8.955293939i	290.160966667-7.376809091i	289.204998990-6.218032323i	288.165687879-5.409434343i	287.736028283-4.497530303i	286.706504040-3.822403030i	285.995864646-3.499306061i	285.456449495-2.733663636i	285.247688889-2.890401010i	284.063703030-3.014584848i	282.293381818-2.538996970i
306.740321212-31.103733333i	299.357922222-22.006517172i	293.966712121-18.059886869i	288.447529293-11.272757576i	286.358495960-9.006857576i	284.641602020-7.179591919i	283.735015152-6.180864646i	282.986780808-5.208401010i	282.164243434-4.552497980i	281.198565657-4.091757576i	280.503690909-3.326333333i	279.855542424-2.803674747i	280.036059596-2.630296970i	278.809592929-3.076550505i	276.902662626-1.907643434i
302.321253535-30.913214141i	294.840055556-22.155078788i	289.261404040-17.777304040i	283.771774747-11.491278788i	281.597915152-8.789034343i	280.166558586-7.365045455i	279.121162626-6.262012121i	278.226661616-5.389858586i	277.743879798-4.661174747i	276.988367677-3.953214141i	275.933670707-3.486394949i	275.405191919-2.915875758i	275.342431313-2.599486869i	274.082238384-3.031534343i	272.134988889-2.066288889i
297.697538384-30.979190909i	290.474056566-22.101173737i	285.053328283-17.981046465i	279.559078788-11.053323232i	277.331224242-8.894569697i	276.194834343-7.316969697i	274.861325253-6.171804040i	274.068792929-5.537801010i	273.331817172-4.629494949i	272.538055556-4.107651515i	271.838773737-3.535853535i	271.071087879-2.851284848i	270.944264646-2.619554545i	269.931337374-2.977151515i	268.408792929-1.791207071i
293.977826263-31.113981818i	286.707687879-22.013698990i	281.494593939-18.028713131i	275.874246465-11.242763636i	273.599903030-8.860826263i	272.397259596-7.508138384i	271.371847475-6.181221212i	270.458094949-5.273547475i	269.389697980-4.733428283i	268.898564646-3.987351515i	267.989092929-3.602062626i	267.648735354-2.837406061i	267.299357576-3.042201010i	266.095831313-3.153425253i	264.695506061-2.359112121i
290.402002020-30.976833333i	283.202364646-21.740302020i	277.489900000-17.999335354i	272.280607071-11.228764646i	270.108435354-9.017860606i	268.462496970-7.280736364i	267.750572727-6.178061616i	266.851292929-5.617466667i	265.956295960-4.592520202i	265.175064646-4.074166667i	264.197363636-3.163781818i	264.012953535-2.807471717i	263.701253535-2.881214141i	262.648331313-3.200698990i	260.761431313-2.104816162i
287.444828283-30.753523232i	280.140830303-21.925764646i	274.560170707-17.765603030i	269.256886869-11.185430303i	266.904150505-8.886818182i	265.700294949-7.296429293i	264.645261616-6.081802020i	263.700476768-5.370585859i	263.054969697-4.650862626i	261.957195960-3.971737374i	261.197991919-3.819415152i	260.711661616-2.714539394i	260.580847475-2.678479798i	259.288207071-3.079511111i	257.950990909-1.959343434i
422.765207071-33.132894949i	413.984609091-24.324120202i	407.856333333-20.124240404i	400.971633333-12.569157576i	398.460803030-10.098967677i	396.811601010-8.231113131i	395.781230303-6.974274747i	394.669375758-6.079058586i	393.991230303-5.283883838i	393.120272727-4.613175758i	391.940284848-3.786044444i	391.574276768-3.234949495i	391.567317172-3.250875758i	390.025461616-3.725365657i	388.096447475-2.092079798i
392.002207071-32.111345455i	383.566866667-23.515565657i	377.968461616-19.358273737i	371.449207071-12.144925253i	368.928365657-9.484928283i	367.552829293-7.684296970i	366.619100000-6.616743434i	365.413729293-5.810359596i	364.714103030-4.788562626i	364.123601010-4.113789899i	362.717639394-3.406149495i	362.421551515-3.019062626i	362.288943434-3.270185859i	360.695954545-3.504197980i	358.917252525-2.373804040i
369.784236364-31.915462626i	361.895942424-22.745177778i	356.269127273-18.828026263i	350.262331313-11.873082828i	348.083533333-9.327716162i	346.143997980-7.300197980i	345.305872727-6.354396970i	344.425624242-5.340511111i	343.475241414-4.752874747i	342.939047475-4.062330303i	341.772913131-3.426458586i	341.518031313-3.013964646i	341.247274747-2.859103030i	339.782125253-3.202904040i	338.016729293-2.568704040i
355.195919192-31.702218182i	346.884853535-22.682849495i	341.635442424-18.407946465i	335.829057576-11.743244444i	333.391682828-9.325352525i	331.833506061-7.227591919i	330.875081818-6.354952525i	330.004452525-5.251346465i	329.193576768-4.814377778i	328.557950505-4.075240404i	327.498095960-3.285267677i	326.883922222-2.921678788i	326.972554545-3.048227273i	325.662320202-3.200226263i	323.699946465-2.031264646i
342.729004040-31.117413131i	334.924367677-22.461060606i	329.625203030-18.241494949i	323.881754545-11.357427273i	321.500682828-8.980844444i	320.186698990-7.448641414i	319.284774747-6.377941414i	317.933912121-5.639912121i	317.341447475-4.738314141i	316.614330303-4.128120202i	315.892315152-3.814706061i	315.327404040-2.899097980i	314.917425253-2.885703030i	313.887026263-3.321829293i	312.032244444-2.176186869i
332.331934343-31.737715152i	324.821905051-22.174360606i	319.312563636-18.235996970i	313.742065657-11.207028283i	311.497766667-8.979007071i	309.682966667-7.449748485i	308.951700000-6.265601010i	308.089119192-5.474670707i	307.220062626-4.949919192i	306.665392929-4.330085859i	305.954201010-3.162172727i	305.312702020-3.048306061i	305.171571717-2.821222222i	303.756305051-3.186150505i	301.895568687-2.342595960i
324.682633333-31.089674747i	316.819995960-21.998500000i	311.426642424-18.042905051i	306.033751515-10.981111111i	303.499245455-8.869443434i	302.262052525-7.216536364i	301.075541414-6.304355556i	300.199247475-5.486228283i	299.529205051-4.761052525i	298.613767677-4.122139394i	298.291020202-3.320826263i	297.554783838-2.700414141i	297.429882828-2.597044444i	296.043710101-3.271179798i	294.387949495-2.233287879i
317.413379798-30.980042424i	309.834264646-22.140646465i	304.401490909-18.202553535i	298.987826263-11.290222222i	296.554479798-8.944684848i	295.167886869-7.250413131i	294.281268687-6.118200000i	293.161134343-5.337269697i	292.530049495-4.628905051i	291.763679798-4.134145455i	291.382090909-3.209439394i	290.394988889-2.837189899i	290.382855556-2.876152525i	289.077091919-3.341780808i	287.480546465-1.891055556i
311.554815152-31.163245455i	304.118323232-22.160281818i	298.490564646-18.203688889i	292.915308081-11.038223232i	290.729138384-8.864655556i	289.172764646-7.405237374i	288.235571717-6.289163636i	287.529165657-5.358187879i	286.510572727-4.622910101i	285.873678788-4.136953535i	285.236727273-3.148573737i	284.454509091-2.871487879i	284.556679798-2.709681818i	283.264848485-3.079627273i	281.572880808-2.246731313i
